Abbr,Definition,Sentence
BKK,Bantuan Kanak-Kanak,"JABATAN Kebajikan Masyarakat (JKM) negeri menghulurkan bantuan maksimum RM450 sebulan di bawah BKK kepada semua enam anak Mazuin Jasmi, 37, bagi mengurangkan beban ibu tunggal itu."
AA,Akademi Arjunasukma," AA yang digerakkan aktivis seni dari Kelantan ini adalah sebuah badan kesenian berdaftar yang bergerak cergas di sekitar Lembah Klang dengan menawarkan persembahan muzik tradisional, wayang kulit, dikir barat dan lain-lain lagi."
MPI,Majlis Perundingan Islam,"Ia secara tidak langsung dapat memenuhi keperluan kebenaran mendarat berkenaan, katanya ditemui selepas Multaqa Perundangan dan Politik MPI , di sini hari ini."
MPI,Malaysian Property Incorporated,"Antara Pengasas MPI , Fateh Iskandar adalah juga Presiden Persatuan Pemaju Hartanah dan Perumahan Malaysia (REHDA) serta Pengerusi bersama Pasukan Petugas Khas Pemudahcara Perniagaan (PEMUDAH) untuk Perkhidmatan & Perundangan."
MIA,Missing in Action,Operasi mencari pesawat itu dijalankan namun ia berakhir pada 16 Disember 1945 dan semua kru diklasifikasikan sebagai MIA sebelum disenaraikan sebagai Killing In Action (KIA) pada 28 November 1946.
PIBG,Persatuan Ibu Bapa dan Guru-guru,Beliau juga menjelaskan kementeriannya sudah memberi makluman mengenai empat komponen PBS kepada PIBG dan pihak sekolah sejak tahun 2012 lagi.
MPM,Majlis Perundingan Melayu,"Ketua Setiausaha MPM , Datuk Dr Hasan Mad; Timbalan Presiden Persatuan SME Malaysia, Ong Chee Tat; Presiden Persatuan Pedagang dan Pengusaha Melayu Malaysia (PERDASAMA) , Datuk Moehamad Izat Emir; Pengarah Eksekutif Dewan Perniagaan Amerika-Malaysia (AMCHAM) , Siobhan M Das."
ABR,All Blacks Revival,"Esok akan berlangsung pusingan suku akhir, separuh akhir dan akhir CUP bagi menentukan pemenang yang layak merangkul Piala NJ Ryan dalam kejuaraan anjuran bersama MCKK, Jawatankuasa ABR dan Persatuan Murid-Murid Tua Kolej Melayu Kuala Kangsar (MCOBA) ."
PPTC,Pusat Penyelidikan Tasik Chini,Kompleks makmal yang menjadi sebahagian daripada PPTC dibina Majlis Pembangunan Wilayah Ekonomi Pantai Timur (ECERDC) bagi memelihara dan memulihara tasik itu daripada sebarang kerosakan ekosistem.
PA,Perumahan Awam,"Pada majlis itu, 660 KOR SISPA dari Universiti Awam (UA) ditauliahkan pangkat Leftenan Muda PA ."
PSM,Perbadanan Stadium Malaysia,Kuala Lumpur: Pengerusi PSM Datuk Rozabil Abdul Rahman mengaku buntu mencari penyelesaian terbaik berhubung penggunaan rumput di Stadium Nasional Bukit Jalil.
MOOC,Massive Open Online Courses,"Bagaimanapun, untuk memacu pelaksanaan Fasa Satu pada tahun ini sebanyak lima inisiatif keutamaan tinggi dan 14 inisiatif utama akan dimulakan iaitu Program Transformasi Universiti, Formula Pembiayaan Baru, MOOC , Transformasi Pendidikan dan Latihan Teknikal dan Vokasional serta Program Fakulti Ketua Pegawai Eksekutif (CEO) , katanya."
TMP,Trilateral Maritime Patrol,"Ia adalah pendekatan kerjasama pertahanan kedua yang dilakukan tiga negara ASEAN itu, dengan usaha sama sebelum ini dibuat menerusi TMP , berfokus kepada pemantauan di kawasan perairan."
PKMM,Persatuan Kontraktor Melayu Malaysia,"Peruntukan oleh Perbadanan Perumahan Rakyat 1Malaysia (PR1MA) , manakala pembinaannya turut mendapat kerjasama Universiti Malaya (UM) serta PKMM Kelantan yang menyediakan tenaga kerja."
S,Sport,"Maka, penyelesaiannya ialah memandu dalam mode S ."
KIK,Kumpulan Inovatif dan Kreatif,"Aplikasi ini baru saja diperkenalkan dan boleh dimuat turun menerusi Google Play secara percuma, katanya selepas menghadiri Konvensyen KIK ke-18 dan Anugerah Kecemerlangan Inovasi JKDM di Akademi Kastam Diraja Malaysia, di sini, semalam."
AMD,Akademi Mokhtar Dahari,"KUALA LUMPUR: Jurulatih skuad AMD , Malaysia Panthers bawah 13 (B-13) tahun, Mohd Khushairi Abd Wahab menegaskan anak buahnya sudah bersedia mengharungi aksi pertama Piala Supermokh 2017 berdepan kelab Thailand, Buriram United, esok."
JPNS,Jabatan Pendidikan Negeri Sabah,"Berikutan arahan penutupan sekolah yang dikeluarkan JPNS , seramai 184,808 pelajar dengan 104,525 pelajar sekolah menengah diarahkan balik pada jam 9 pagi."
BM,Bahasa Melayu,"Selain itu, penambahbaikan juga membabitkan kertas bagi subjek BM , BI, Bahasa Cina dan Bahasa Tamil untuk ujian pemahaman, akan mempunyai soalan dalam bentuk subjektif berbanding hanya objektif ketika ini."
PPS,Panel Pakar Syariah,"Mufti Pulau Pinang Datuk Dr Wan Salim Wan Mohd Noor berkata, fatwa itu dibuat berdasarkan keputusan yang disepakati PPS yang bermesyuarat pada 2 dan 3 Disember lalu."
PH,Pearl Haya,"Seremban: PH , pengeluar tudung dan pakaian berjenama eksklusif Bumiputera, menyasarkan untuk melebarkan sayap peniagaan ke luar negara antaranya di Filipina, Indonesia, Brunei, Singapura dan Britain, bermula tahun ini."
MPS,Majlis Pembangunan Sosial,"Antara faktor menyumbang kepada isu gelandangan ialah masalah keluarga, ketagihan alkohol, tiada pekerjaan dan masalah mental, katanya selepas menghadiri taklimat Pelan Strategi MPS 2018 di pejabatnya di Bangunan Baitulmakmur, di sini, hari ini."
PSM,Perbadanan Stadium Malaysia,"Sementara itu Khairy bersetuju dengan cadangan Pengerusi PSM Datuk Rozabil Ab Rahman untuk menambah lagi bilangan lampu pencahayaan pertumbuhan, tetapi perlu menggunakan peruntukan sendiri."
MBM,Majlis Belia Malaysia,"Yang turut hadir, Pegawai Pendidikan Daerah Daerah Muallim, Saiful Bahrin Sulaiman; Pengurus Besar FELDA Wilayah Trolak, Haidir Moin dan Timbalan Presiden MBM , Zaidi Aziz."
MPM,Majlis Perbandaran Muar,"Yang Dipertua MPM Jamaludin A Hamid, berkata tindakan itu bertujuan untuk mengawal kewujudan rumah kediaman yang dijadikan rumah penginapan atau inap desa yang semakin bertambah."
HJ,Hospital Jeli,"Hospital Pakar Amanjaya (HPA) merekodkan satu kes (lelaki) dimasukkan ke wad, manakala tiga kes di HJ membabitkan dua lelaki dan seorang perempuan pula dirawat sebagai pesakit luar, katanya dalam satu kenyataan, 11."
MBS,Majlis Belia Selangor,"Di SHAH ALAM, MBS mahu polis mengambil tindakan sewajarnya terhadap pemilik akaun Facebook itu kerana ia disifatkan sebagai tindakan melampau, selain seakan menjadi budaya masyarakat sejak kebelakangan ini."
BP,Benzoyl peroxide,"SUSULAN TEPUNG GANDUM ADA RACUN KUALA LUMPUR: Kementerian Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan (KPDNKK) mencadangkan kepada Kementerian Kesihatan supaya penggunaan bahan peluntur,  BP diharamkan dalam tepung gandum yang dijual di negara ini."
RMT,Reborn Medical Technology,"Khairul berkata, sebagai syarikat kejuteraan tisu yang pertama di Malaysia, pihaknya turut bekerjasama dengan Dr Richard Ng daripada RMT , penaung utama pengedaran di Malaysia, serta melalui Dr Choi Min Seok, orang di belakang sel stem terkemuka di Korea bagi memasarkan produk terbabit."
STAR,Stadium Tun Abdul Razak,FELDA United akan menggunakan STAR sebagai gelanggang rasmi di Liga Malaysia (Liga-M) musim ini.
PGK,Pasukan Gerak Khas,"Beliau berucap pada Majlis Ramah Mesra Timbalan Perdana Menteri dengan Warga Briged Utara Pasukan Gerakan Am (PGA) , 69 Komando PGK dan Pusat Latihan PGA (PLPGA) Bersempena Aidiladha 2017 di Ulu Kinta, dekat sini hari ini."
ADUN,Anggota Dewan Undangan Negeri,"KUALA LUMPUR: Datuk Seri Najib Razak mengucapkan takziah kepada keluarga ADUN Sungai Air Tawar, Kamarol Zaki Abdul Malik, yang meninggal dunia hari ini."
PSS,Pusat Sumber Sekolah,"Bendera bersaiz 11 meter panjang dan enam meter lebar itu diilhamkan oleh Guru Penolong Kanan Kokurikulum (GPK) , Mohd Salleh Mislam, 37, bersama guru PSS , Norhamizan Mat Gaus, 48 dan Suzielinda Tajuludin, 39, serta guru sekolah itu."
DTL,Dermaga Tanjung Lembong,"Pengerusi Langkawi Port Sdn Langkawi Port (Bhd) , Tan Sri Khalid Ramli berkata, jumlah itu hampir menyamai jumlah kenderaan yang dibawa keluar tahun lalu menerusi DTL , di sini ke Kuala Kedah dan Kuala Perlis."
KPM,Kementerian Pendidikan Malaysia,Alchemist Memory Set yang dihasilkan Jennie ini pernah memenangi anugerah inovatif KPM dan digunakan sejak 2012 bagi membantu pelajar memahami mata pelajaran Kimia.
SIS,Semangat Intelek Swadaya,"Ameera diberi tanggungjawab mengacara Safiyya yang sudah sinonim dengan TV9, Faatin pula dengan Hijab Stailista, manakala Bella mengendalikan SIS bergan­dingan dengan Heliza Helmi dan Shearasol."
JKM,Jabatan Kebajikan Masyarakat,"Bantuan disampaikan sendiri Permaisuri Johor, Raja Zarith Sofiah Almarhum Sultan Idris kepada lebih 10 penerima bantuan daripada JKM dan MAINJ."
KD,Kapal Diraja,"Abu Bakar berkata, lebih 400 pegawai dan anggota TLDM Lumut terbabit dalam latihan itu serta pembabitan aset Armada Barat iaitu KD Lekiu dan KD Lekir serta sebuah helikopter Super Lynx."
KUP,Ketua Unit Pendakwaan,"Ketua Jabatan Siasatan Jenayah Perak, Datuk Goh Kok Liang berkata, suspek hari ini dibebaskan atas nasihat KUP Perak kerana identiti mangsa masih tidak dapat dikenal pasti."
BSK,Bahagian Sokongan Keluarga,"KUALA LUMPUR: Cadangan memperkasa BSK , Jabatan Kehakiman Syariah Malaysia (JKSM) wajar dilakukan bagi memastikan kebajikan anak dan ibunya terus terpelihara."
JKNS,Jabatan Kesihatan Negeri Sembilan,"Seremban: Sebuah restoran mamak di Dataran Senawang, di sini, dikatakan beroperasi seperti biasa meskipun diarah tutup oleh JKNS dan Majlis Perbandaran Seremban (MPS) berikutan gambar tikus berkeliaran yang viral di Facebook."
PBH,Perkhidmatan Bagasi Haji,"Timbalan Menteri Komunikasi dan Multimedia, Datuk Jailani baris kedua, lima dari kiri (Johari) ketika bergambar kenangan bersama petugas Pos Malaysia yang akan bertugas semasa musim haji pada majlis perasmian PBH 2016 di Ibu Pejabat Pos Malaysia, hari ini."
FFM,Flotilla For Myanmar,"Katanya, hubungan dua hala yang baik antara Malaysia dan Myanmar ketika ini juga adalah antara sebab misi kemanusiaan sebelum ini, iaitu Food FFM pada 3 Februari lalu disempurnakan dengan jayanya."
TSM,Telekomunikasi dan Sistem Maklumat,"Fasa seterusnya, beliau berkata ia akan menggabungkan Bahagian Komunikasi dan Teknologi Maklumat di semua peringkat menjadi Bahagian TSM serta mewujudkan bahagian baharu iaitu Analisis dan Pembangunan Teknologi."
ILKBS,Institusi Latihan Kemahiran Belia dan Sukan,KUALA LUMPUR: Kementerian Belia dan Sukan (KBS) mentransformasikan kaedah pengajaran dan pembelajaran (PdP) di ILKBS ke arah digital sejajar Revolusi Perindustrian Ke-4 (Industri 4.0) .
STK,Skuad Terima Kasih,"PETALING JAYA: Hampir 100 kakitangan Media Prima Bhd (MPB) menyertai STK menerusi kempen Ramadan TV3 dan TV9, bermula semalam hingga 20 Jun ini."
JPPK,Jabatan Pembangunan Persekutuan Kelantan,"Ahli Dewan Undangan Negeri (ADUN) Nenggiri Datuk Mat Yusoff Abdul Ghani ketika dihubungi berkata, beliau maklum mengenai perkara itu dan akan melaporkannya kepada JPPK untuk tindakan lanjut."
PSP,Politeknik Seberang Perai,"KALAU tidak susah sekarang, tidak akan senang pada masa hadapan, kata penerima Anugerah Kecemerlangan Akademik & Kokurikulum Peringkat Politeknik dalam Majlis Konvokesyen ke-17 PSP , Permatang Pauh, hari ini."
MMK,Majlis Mesyuarat Kerajaan,"Sebelum ini, Setiausaha PAS negeri, Iszuree Ibrahim, mendakwa PAS mempunyai bukti bahawa kerajaan negeri sengaja mencampuri urusan fatwa apabila mengarahkan semua fatwa yang diputuskan Mesyuarat Jawatankuasa Fatwa Negeri Pulau Pinang perlu melalui MMK Negeri terlebih dahulu, sebelum dipersembahkan kepada Yang di-Pertuan Agong."
RORO,Roll On Roll Off,"Sementara itu, Idris berterima kasih kepada Kementerian Pengangkutan yang bersetuju menyediakan perkhidmatan feri pengangkutan RORO pertama di negara ini di Tanjung Bruas, Tanjung Kling ke pelabuhan Dumai, Indonesia."
ASN,Anugerah Sastera Negara,Abdullah yang dilahirkan pada 25 Mac 1920 menerima ASN pada tahun 1996.
SIB,Sidang Injil Borneo,KUALA LUMPUR: Majlis Agama Islam Wilayah Persekutuan (MAIWP) dibenarkan menjadi pencelah dalam permohonan semakan kehakiman oleh Gereja SIB berhubung kemasukan bahan terbitan Kristian mengandungi kalimah Allah ke negara ini.
STC,Selangor Turf Club,"Isa berkata ekoran penyakit itu cepat merebak, beberapa kelab lumba kuda termasuk STC , Perak Turf Club (PTC) dan Penang Turf Club diminta memperketatkan kawalan serta memastikan tiada kuda dan alatan dibawa keluar dari kelab berkenaan."
PKOB,Pusat Kawalan Operasi Bencana,"Katanya, Pos Kawalan Tempat Kejadian (PKTK) juga akan ditutup pada jam 10 malam ini manakala PKOB ditutup esok jam 12 tengah hari."
CMC,China Media Capital," CMC dan CITIC Capital membeli saham itu di City Football Group (CFG) , yang terdahulu dimiliki Abu Dhabi United Group (ADUG) , hanya beberapa minggu selepas Presiden China, Xi Jinping berkunjung ke kelab itu."
PNK,Persatuan Nelayan Kawasan,"Mohamad Zamri berkata, dia berterima kasih kepada PNK Dungun yang berusaha membantu mereka berdua pulang."
ICC,Innovative & Creative Circle,"Konvensyen ini turut mendedahkan kaedah penyelesaian masalah dalam industri seperti ICC , Quality Enviroment (5S) , Lean, Six Sigma, Material Cost Saving (MCS) dan Theory of Inventive Problem Solving (TRIZ) , katanya."
ADUN,Ahli Dewan Undanagn Negeri,"Majlis itu dirasmikan Ahli Parlimen Langkawi, Datuk Nawawi Ahmad yang turut dihadiri ADUN Kuah, Nor Saidi Nanyan dan Pengarah KEMAS Kedah, Che Kamaruddin Che Ismail."
PPNS,Pusat Pentadbiran Negeri Sabah,"Pada sebelah petang, Najib dijadual hadir Perhimpunan Perdana Bersama Penjawat Awam Negeri dan Persekutuan di Auditorium PPNS , di sini."
RM,Running Man,"Kehadiran Jeon So Min, 31, sebagai anggota baru RM pada awalnya mendapat pelbagai reaksi daripada peminat program anekaragam berkenaan."
PSAS,Piala Sultan Azlan Shah,"Jadi, tidak mustahil pada tahun ini pencabar Malaysia akan membuat persiapan lebih rapi untuk menundukkan anak-anak buah Stephen Van Huizen terutama menjelang saingan PSAS 2018 yang menyingkap tirainya 3 Mac depan."
KKM,Kelab Kucing Malaysia,"KUCING berbaju melayu datang beraya antara tarikan rumah terbuka yang dianjurkan KKM di Kampung Baru, Kuala Lumpur, hari ini."
PPD,Pejabat Pendidikan Daerah,Majlis perasmian penutup dan penyampaian hadiah disempurnakan PPD Hulu Selangor Zainal Abidin Mohd Yusof.
JPJK,Jabatan Pencegahan Jenayah dan Keselamatan,BEKAS Timbalan Pegawai Turus Kepolisian Komuniti JPJK Ibu Pejabat Polis Kontinjen (IPK) Perak Asisten Komisioner Shahurinain Jais dilantik sebagai Ketua Polis Daerah (KPD) Johor Bahru Selatan berkuat kuasa hari ini.
PSSTK,Penasihat Sukan Seni Tomoi Kelantan,"Hadir sama, PSSTK Datuk Dr Zulkepli Mohamad."
EMA,Education Malaysia Australia,"Sydney : EMA antara pihak terawal memberi bantuan dan sokongan kepada keluarga Jaffar Saion sejak dia mula dimasukkan ke Hospital St Vincent di sini, 30 Ogos lalu."
SM,Staff Muda,"Dalam perkembangan sama, Pegawai JPAM Daerah Segamat, SM Mohd Nazlan Roslan, berkata seramai 10 anggota penyelamat dikejarkan ke lokasi kejadian sejurus menerima panggilan mengenai kejadian banjir kilat di Batu Anam Segamat kira-kira jam 2 pagi, semalam."
HSC,Higher School Certificate,Bekas pelajar Class 66 mengambil inisiatif untuk menerbitkan buku ini sebagai satu usaha untuk merakamkan pengalaman hidup berasrama dari sebelum masuk hingga tamat tingkatan enam atas ketika menduduki peperiksaan HSC pada 1968.
PPR,Projek Perumahan Rakyat,"Saya juga sudah berpindah ke kediaman lebih selesa di PPR Seri Alam, berdekatan Sungai Besi."
PBS,Projek Beg Sekolah,"Kuala Lumpur: Kami tidak mengharapkan pulangan, hanya senyuman daripada kanak-kanak sudah memadai, kata Hairizal Mohd Zakhuan, 35, seorang penyumbang bagi PBS ."
WA,wing attack,"Mengulas mengenai strategi yang akan dipraktikkan apabila turun berdepan Singapura itu, Peh San yang beraksi di posisi WA itu berkata, dia serahkan kepada jurulatih untuk membuat percaturan."
PPM,Public Performance Malaysia,"Ketika ini, empat badan dilesenkan untuk mengendalikan royalti iaitu MACP, PPM , Recording Performers Malaysia Berhad (RPM) dan Performers and Artists Rights (Prism) ."
TKHM,Titipan Kasih Harian Metro,"Hadir sama, Pengarah program TKHM yang juga Pengarang Berita Kanan Wilayah HM Ahmad Shahrul Nizam Muhammad, Pegawai Unit Serahan Kurier Pos Malaysia Hasbullah Yunus dan Penolong Naib Presiden Pengurusan Pengangkutan Pos Malaysia Fahruruzi Nasuha."
MAIM,Majlis Agama Islam Melaka,"Idris yang juga Pengerusi MAIM berkata, kerajaan negeri juga bersetuju menyediakan insentif tambahan dengan nilai sama kepada lebih 1,000 murabbi termasuk imam, noja, guru takmir, dan guru Kelas Agama dan Fardhu Ain (KAFA) ."
UPM,Universiti Pertanian Malaysia,"Sementara itu, Fasilitator program, Siti Noridayu Abd Nasir, 28, berkata, program membabitkan 63 siswa dari UPM Serdang, Selangor dan 25 siswa dari Universiti Sains Islam Malaysia (USIM) , Nilai dan turut mendapat penajaan dari Kementerian Perdagangan Dalam Negeri, Koperasi dan Kepenggunaan (KPDNKK) ."
RKK,Rumah Kebajikan Kanak-kanak,"Kemudian bayi di tempatkan di RKK , katanya kepada BH."
TMP,Tahun Melawat Pahang,"Bertujuan mempromosi kempen TMP 2017, konvoi disertai 69 peserta berusia antara empat tahun hingga 71 tahun itu, mengakhiri pengembaraan sebaik tiba jam 7 malam waktu tempatan atau 3 pagi tadi waktu Malaysia."
HM,Hospital Melaka,Kejadian jam 9 malam itu membabitkan tiga motosikal yang bertembung sesama sendiri dan Muhamad Amirul yang menunggang motosikal Yamaha RXZ meninggal ketika dirawat di HM .
MMM,Majlis Media Malaysia,"Berdepan kelantangan masyarakat menyuarakan kritikan, Johan berkata, cadangan penubuhan MMM , seperti diutarakan Pengurus Besar Pertubuhan Berita Nasional Malaysia, Datuk Zulkefli Salleh adalah langkah tepat bagi merungkai pelbagai isu berbangkit."
WTF,World Throttle Full,"Penyanyi Royce Saayan yang juga Pengarah Program Bakat Kotak Suara NAE berkata, pertandingan yang mendapat sokongan Koperasi Industri Muzik Malaysia Berhad ini dianjurkan dengan kerjasama beberapa penaja lain seperti Attitude Malaysia, WTF Malaysia, Md Clowns Malaysia, Black Orange Garage, Helmy Auto Work, Izzmad Harun Empire dan Mac Ruhayu & Sons Orilicious."
SPS,Seberang Perai Selatan,"sama ada pelajar itu akan didakwa atau tidak bergantung kepada keputusan KUP, katanya kepada pemberita selepas majlis serah tugas Ketua Polis Daerah SPS ACP Shafien Mamat di sini hari ini."
AFP,Agence France-Presse,"Jurucakap sekretariat media memberitahu Bernama, jumlah itu termasuk 30 wakil media asing, seperti Reuters, AFP dan TV One Indonesia."
PPPM,Persatuan Pandu Puteri Malaysia,"TANJUNG MALIM: Empat kanak-kanak yang menghidap pelbagai masalah kesihatan menerima sumbangan wang tunai berjumlah RM14,000 daripada PPPM dan Yayasan Program PERMATA Negara (PERMATA) ."
JPM,Jabatan Perangkaan Malaysia,"Banci ekonomi setiap lima tahun sekali yang dijalankan JPM itu membabitkan sektor perkhidmatan, pembinaan, pembuatan, pertanian dan perlombongan serta kuari."
MUIS,Majlis Ugama Islam Singapura,"Dai Pendakwah Nusantara turut mengundang Timbalan Pengarah Pejabat Mufti MUIS , Irwan Hadi sebagai pengkritik jemputan."
GHB,Gerakan Harapan Baru,"KLANG: Ahli Parlimen Kota Raja, Dr Siti Mariah Mahmud meletak jawatan sebagai Naib Yang Dipertua PAS kawasan itu berkuatkuasa serta-merta bagi menyertai parti baharu yang bakal ditubuhkan oleh GHB hujung bulan ini."
